,PassengerId,Gender,Age,Fare
0,892,44,0.45,0.02
1,893,60,0.62,0.01
2,894,74,0.82,0.02
3,895,34,0.35,0.02
4,896,27,0.29,0.02
5,897,17,0.18,0.02
6,898,38,0.39,0.01
7,899,32,0.34,0.06
8,900,22,0.24,0.01
9,901,26,0.27,0.05
10,902,34,0.35,0.02
11,903,59,0.6,0.05
12,904,29,0.3,0.16
13,905,75,0.83,0.05
14,906,60,0.62,0.12
15,907,30,0.31,0.05
16,908,45,0.46,0.02
17,909,26,0.27,0.01
18,910,34,0.35,0.02
19,911,58,0.59,0.01
20,912,67,0.72,0.12
21,913,12,0.12,0.01
22,914,34,0.35,0.06
23,915,26,0.27,0.12
24,916,61,0.63,0.51
25,917,63,0.66,0.03
26,918,27,0.29,0.12
27,919,28,0.29,0.01
28,920,54,0.54,0.06
29,921,34,0.35,0.04
30,922,63,0.66,0.05
31,923,30,0.31,0.06
32,924,42,0.43,0.04
33,925,34,0.35,0.05
34,926,38,0.39,0.11
35,927,23,0.24,0.01
36,928,34,0.35,0.02
37,929,26,0.27,0.02
38,930,31,0.33,0.02
39,931,34,0.35,0.11
40,932,51,0.51,0.03
41,933,34,0.35,0.05
42,934,54,0.54,0.02
43,935,38,0.39,0.03
44,936,58,0.59,0.1
45,937,31,0.33,0.02
46,938,58,0.59,0.06
47,939,34,0.35,0.02
48,940,71,0.79,0.15
49,941,46,0.47,0.03
50,942,30,0.31,0.12
51,943,34,0.35,0.03
52,944,25,0.26,0.04
53,945,35,0.37,0.51
54,946,34,0.35,0.03
55,947,13,0.13,0.06
56,948,45,0.46,0.02
57,949,31,0.33,0.01
58,950,34,0.35,0.03
59,951,46,0.47,0.51
60,952,21,0.22,0.02
61,953,40,0.42,0.03
62,954,22,0.24,0.02
63,955,27,0.29,0.02
64,956,16,0.17,0.51
65,957,34,0.35,0.04
66,958,22,0.24,0.02
67,959,60,0.62,0.08
68,960,39,0.41,0.06
69,961,71,0.79,0.51
70,962,30,0.31,0.02
71,963,26,0.27,0.02
72,964,37,0.38,0.02
73,965,36,0.37,0.05
74,966,45,0.46,0.41
75,967,41,0.43,0.41
76,968,34,0.35,0.02
77,969,67,0.72,0.05
78,970,38,0.39,0.03
79,971,30,0.31,0.02
80,972,9,0.08,0.03
81,973,77,0.88,0.43
82,974,62,0.64,0.05
83,975,34,0.35,0.02
84,976,34,0.35,0.02
85,977,34,0.35,0.03
86,978,34,0.35,0.02
87,979,22,0.24,0.02
88,980,34,0.35,0.02
89,981,6,0.02,0.04
90,982,27,0.29,0.03
91,983,34,0.35,0.02
92,984,34,0.35,0.1
93,985,34,0.35,0.02
94,986,31,0.33,0.05
95,987,31,0.33,0.02
96,988,78,1.0,0.15
97,989,37,0.38,0.02
98,990,25,0.26,0.02
99,991,42,0.43,0.02
100,992,56,0.56,0.11
101,993,34,0.35,0.05
102,994,34,0.35,0.02
103,995,32,0.34,0.02
104,996,20,0.21,0.02
105,997,35,0.37,0.04
106,998,26,0.27,0.02
107,999,34,0.35,0.02
108,1000,34,0.35,0.02
109,1001,23,0.24,0.03
110,1002,54,0.54,0.03
111,1003,34,0.35,0.02
112,1004,46,0.47,0.06
113,1005,23,0.24,0.01
114,1006,75,0.83,0.43
115,1007,22,0.24,0.03
116,1008,34,0.35,0.01
117,1009,5,0.01,0.03
118,1010,46,0.47,0.15
119,1011,37,0.38,0.05
120,1012,15,0.16,0.03
121,1013,34,0.35,0.02
122,1014,45,0.46,0.11
123,1015,35,0.37,0.01
124,1016,34,0.35,0.02
125,1017,21,0.22,0.03
126,1018,27,0.29,0.02
127,1019,34,0.35,0.05
